,xpath,reduced_xpath,dom_tree_level,x_position,y_position,height,width,html_children,html_attributes,padding_top,padding_right,padding_bottom,padding_left,margin_top,margin_right,margin_bottom,margin_left
0,/html/body/div[2],/html/body/div[],3,80,110,7848.85009765625,1188.0,2430,2,0,0,0,0,110,80.5,0,80.5
1,/html/body/div[2]/div[1],/html/body/div[]/div[],4,320,110,7557.85009765625,948.0,1376,2,0,0,1,0,0,0,0,0
2,/html/body/div[2]/div[1]/ul[2]/li[2]/div,/html/body/div[]/div[]/ul[]/li[]/div,7,322,267,316.0,946.0,53,8,0,0,0,0,0,0,0,0
3,/html/body/div[2]/div[1]/ul[2]/li[2]/div/aside[2]/div[1],/html/body/div[]/div[]/ul[]/li[]/div/aside[]/div[],9,606,273,230.0,240.0,23,1,5,10,0,10,5,0,8,0
4,/html/body/div[2]/div[1]/ul[2]/li[2]/div/aside[2]/div[1]/div[1],/html/body/div[]/div[]/ul[]/li[]/div/aside[]/div[]/div[],10,616,278,98.0,220.0,7,1,30,0,0,0,0,0,0,0
5,/html/body/div[2]/div[1]/ul[2]/li[2]/div/aside[2]/div[1]/div[2],/html/body/div[]/div[]/ul[]/li[]/div/aside[]/div[]/div[],10,616,388,115.0,220.0,14,1,2,5,8,5,12,0,0,0
6,/html/body/div[2]/div[1]/ul[2]/li[2]/div/div,/html/body/div[]/div[]/ul[]/li[]/div/div,8,846,268,264.0,420.0,18,1,15,10,25,10,0,0,0,0
7,/html/body/div[2]/div[1]/ul[2]/li[4]/div,/html/body/div[]/div[]/ul[]/li[]/div,7,322,634,316.0,946.0,56,8,0,0,0,0,0,0,0,0
8,/html/body/div[2]/div[1]/ul[2]/li[4]/div/aside[2]/div[1],/html/body/div[]/div[]/ul[]/li[]/div/aside[]/div[],9,606,640,230.0,240.0,24,1,5,10,0,10,5,0,8,0
9,/html/body/div[2]/div[1]/ul[2]/li[4]/div/aside[2]/div[1]/div[1],/html/body/div[]/div[]/ul[]/li[]/div/aside[]/div[]/div[],10,616,645,98.0,220.0,8,1,30,0,0,0,0,0,0,0
10,/html/body/div[2]/div[1]/ul[2]/li[4]/div/aside[2]/div[1]/div[2],/html/body/div[]/div[]/ul[]/li[]/div/aside[]/div[]/div[],10,616,755,115.0,220.0,14,1,2,5,8,5,12,0,0,0
11,/html/body/div[2]/div[1]/ul[2]/li[4]/div/div,/html/body/div[]/div[]/ul[]/li[]/div/div,8,846,635,281.0,420.0,20,1,15,10,25,10,0,0,0,0
12,/html/body/div[2]/div[1]/ul[2]/li[6]/div,/html/body/div[]/div[]/ul[]/li[]/div,7,322,1001,300.0,946.0,53,8,0,0,0,0,0,0,0,0
13,/html/body/div[2]/div[1]/ul[2]/li[6]/div/aside[2]/div[1],/html/body/div[]/div[]/ul[]/li[]/div/aside[]/div[],9,606,1007,214.0,240.0,23,1,5,10,0,10,5,0,8,0
14,/html/body/div[2]/div[1]/ul[2]/li[6]/div/aside[2]/div[1]/div[1],/html/body/div[]/div[]/ul[]/li[]/div/aside[]/div[]/div[],10,616,1012,98.0,220.0,7,1,30,0,0,0,0,0,0,0
15,/html/body/div[2]/div[1]/ul[2]/li[6]/div/aside[2]/div[1]/div[2],/html/body/div[]/div[]/ul[]/li[]/div/aside[]/div[]/div[],10,616,1122,99.0,220.0,14,1,2,5,8,5,12,0,0,0
16,/html/body/div[2]/div[1]/ul[2]/li[6]/div/div,/html/body/div[]/div[]/ul[]/li[]/div/div,8,846,1002,264.0,420.0,18,1,15,10,25,10,0,0,0,0
17,/html/body/div[2]/div[1]/ul[2]/li[8]/div,/html/body/div[]/div[]/ul[]/li[]/div,7,322,1352,300.0,946.0,47,8,0,0,0,0,0,0,0,0
18,/html/body/div[2]/div[1]/ul[2]/li[8]/div/aside[2]/div[1],/html/body/div[]/div[]/ul[]/li[]/div/aside[]/div[],9,606,1358,214.0,240.0,23,1,5,10,0,10,5,0,8,0
19,/html/body/div[2]/div[1]/ul[2]/li[8]/div/aside[2]/div[1]/div[1],/html/body/div[]/div[]/ul[]/li[]/div/aside[]/div[]/div[],10,616,1363,98.0,220.0,7,1,30,0,0,0,0,0,0,0
20,/html/body/div[2]/div[1]/ul[2]/li[8]/div/aside[2]/div[1]/div[2],/html/body/div[]/div[]/ul[]/li[]/div/aside[]/div[]/div[],10,616,1473,99.0,220.0,14,1,2,5,8,5,12,0,0,0
21,/html/body/div[2]/div[1]/ul[2]/li[8]/div/div,/html/body/div[]/div[]/ul[]/li[]/div/div,8,846,1353,264.0,420.0,12,1,15,10,25,10,0,0,0,0
22,/html/body/div[2]/div[1]/ul[2]/li[10]/div,/html/body/div[]/div[]/ul[]/li[]/div,7,322,1703,316.0,946.0,56,8,0,0,0,0,0,0,0,0
23,/html/body/div[2]/div[1]/ul[2]/li[10]/div/aside[2]/div[1],/html/body/div[]/div[]/ul[]/li[]/div/aside[]/div[],9,606,1709,230.0,240.0,24,1,5,10,0,10,5,0,8,0
24,/html/body/div[2]/div[1]/ul[2]/li[10]/div/aside[2]/div[1]/div[1],/html/body/div[]/div[]/ul[]/li[]/div/aside[]/div[]/div[],10,616,1714,98.0,220.0,8,1,30,0,0,0,0,0,0,0
25,/html/body/div[2]/div[1]/ul[2]/li[10]/div/aside[2]/div[1]/div[2],/html/body/div[]/div[]/ul[]/li[]/div/aside[]/div[]/div[],10,616,1824,115.0,220.0,14,1,2,5,8,5,12,0,0,0
26,/html/body/div[2]/div[1]/ul[2]/li[10]/div/div,/html/body/div[]/div[]/ul[]/li[]/div/div,8,846,1704,281.0,420.0,20,1,15,10,25,10,0,0,0,0
27,/html/body/div[2]/div[1]/ul[2]/li[12]/div,/html/body/div[]/div[]/ul[]/li[]/div,7,322,2070,325.0,946.0,55,8,0,0,0,0,0,0,0,0
28,/html/body/div[2]/div[1]/ul[2]/li[12]/div/aside[2]/div[1],/html/body/div[]/div[]/ul[]/li[]/div/aside[]/div[],9,606,2076,239.0,240.0,25,1,5,10,0,10,5,0,8,0
29,/html/body/div[2]/div[1]/ul[2]/li[12]/div/aside[2]/div[1]/div[1],/html/body/div[]/div[]/ul[]/li[]/div/aside[]/div[]/div[],10,616,2081,107.0,220.0,9,1,30,0,0,0,0,0,0,0
30,/html/body/div[2]/div[1]/ul[2]/li[12]/div/aside[2]/div[1]/div[2],/html/body/div[]/div[]/ul[]/li[]/div/aside[]/div[]/div[],10,616,2200,115.0,220.0,14,1,2,5,8,5,12,0,0,0
