,xpath,reduced_xpath,dom_tree_level,x_position,y_position,height,width,html_children,html_attributes,padding_top,padding_right,padding_bottom,padding_left,margin_top,margin_right,margin_bottom,margin_left,is_search_result
27,/html/body/div[2]/div[1]/ul[2]/li[12]/div,/html/body/div[]/div[]/ul[]/li[]/div,7,322,2070,325.0,946.0,55,8,0,0,0,0,0,0,0,0,True
28,/html/body/div[2]/div[1]/ul[2]/li[12]/div/aside[2]/div[1],/html/body/div[]/div[]/ul[]/li[]/div/aside[]/div[],9,606,2076,239.0,240.0,25,1,5,10,0,10,5,0,8,0,False
29,/html/body/div[2]/div[1]/ul[2]/li[12]/div/aside[2]/div[1]/div[1],/html/body/div[]/div[]/ul[]/li[]/div/aside[]/div[]/div[],10,616,2081,107.0,220.0,9,1,30,0,0,0,0,0,0,0,False
30,/html/body/div[2]/div[1]/ul[2]/li[12]/div/aside[2]/div[1]/div[2],/html/body/div[]/div[]/ul[]/li[]/div/aside[]/div[]/div[],10,616,2200,115.0,220.0,14,1,2,5,8,5,12,0,0,0,False
31,/html/body/div[2]/div[1]/ul[2]/li[12]/div/div,/html/body/div[]/div[]/ul[]/li[]/div/div,8,846,2071,274.0,420.0,18,1,15,10,25,10,0,0,0,0,False
32,/html/body/div[2]/div[1]/ul[2]/li[14]/div,/html/body/div[]/div[]/ul[]/li[]/div,7,322,2446,325.0,946.0,54,8,0,0,0,0,0,0,0,0,True
33,/html/body/div[2]/div[1]/ul[2]/li[14]/div/aside[2]/div[1],/html/body/div[]/div[]/ul[]/li[]/div/aside[]/div[],9,606,2452,239.0,240.0,24,1,5,10,0,10,5,0,8,0,False
34,/html/body/div[2]/div[1]/ul[2]/li[14]/div/aside[2]/div[1]/div[1],/html/body/div[]/div[]/ul[]/li[]/div/aside[]/div[]/div[],10,616,2457,107.0,220.0,8,1,30,0,0,0,0,0,0,0,False
35,/html/body/div[2]/div[1]/ul[2]/li[14]/div/aside[2]/div[1]/div[2],/html/body/div[]/div[]/ul[]/li[]/div/aside[]/div[]/div[],10,616,2576,115.0,220.0,14,1,2,5,8,5,12,0,0,0,False
36,/html/body/div[2]/div[1]/ul[2]/li[14]/div/div,/html/body/div[]/div[]/ul[]/li[]/div/div,8,846,2447,278.0,420.0,18,1,15,10,25,10,0,0,0,0,False
37,/html/body/div[2]/div[1]/ul[2]/li[16]/div,/html/body/div[]/div[]/ul[]/li[]/div,7,322,2822,316.0,946.0,62,8,0,0,0,0,0,0,0,0,True
38,/html/body/div[2]/div[1]/ul[2]/li[16]/div/aside[2]/div[1],/html/body/div[]/div[]/ul[]/li[]/div/aside[]/div[],9,606,2828,230.0,240.0,32,1,5,10,0,10,5,0,8,0,False
39,/html/body/div[2]/div[1]/ul[2]/li[16]/div/aside[2]/div[1]/div[1],/html/body/div[]/div[]/ul[]/li[]/div/aside[]/div[]/div[],10,616,2833,98.0,220.0,16,1,30,0,0,0,0,0,0,0,False
40,/html/body/div[2]/div[1]/ul[2]/li[16]/div/aside[2]/div[1]/div[2],/html/body/div[]/div[]/ul[]/li[]/div/aside[]/div[]/div[],10,616,2943,115.0,220.0,14,1,2,5,8,5,12,0,0,0,False
41,/html/body/div[2]/div[1]/ul[2]/li[16]/div/div,/html/body/div[]/div[]/ul[]/li[]/div/div,8,846,2823,256.0,420.0,18,1,15,10,25,10,0,0,0,0,False
42,/html/body/div[2]/div[1]/ul[2]/li[18]/div,/html/body/div[]/div[]/ul[]/li[]/div,7,322,3189,316.0,946.0,58,8,0,0,0,0,0,0,0,0,True
43,/html/body/div[2]/div[1]/ul[2]/li[18]/div/aside[2]/div[1],/html/body/div[]/div[]/ul[]/li[]/div/aside[]/div[],9,606,3195,230.0,240.0,24,1,5,10,0,10,5,0,8,0,False
