,xpath,reduced_xpath,dom_tree_level,x_position,y_position,height,width,html_children,html_attributes,padding_top,padding_right,padding_bottom,padding_left,margin_top,margin_right,margin_bottom,margin_left
30,/html/body/div[1]/div[1]/main/div/div[2]/div[2]/div/div[1]/div/div/div[1]/div/div[2]/div[2]/div[5]/div[3]/div[1],/html/body/div[]/div[]/main/div/div[]/div[]/div/div[]/div/div/div[]/div/div[]/div[]/div[]/div[]/div[],19,99,822,76.0,220.0,11,2,8,0,28,0,0,0,0,0
31,/html/body/div[1]/div[1]/main/div/div[2]/div[2]/div/div[1]/div/div/div[1]/div/div[2]/div[2]/div[5]/div[3]/div[2],/html/body/div[]/div[]/main/div/div[]/div[]/div/div[]/div/div/div[]/div/div[]/div[]/div[]/div[]/div[],19,99,910,104.0,220.0,44,2,0,0,0,0,0,0,0,0
32,/html/body/div[1]/div[1]/main/div/div[2]/div[2]/div/div[1]/div/div/div[1]/div/div[2]/div[2]/div[5]/div[3]/div[2]/div[2],/html/body/div[]/div[]/main/div/div[]/div[]/div/div[]/div/div/div[]/div/div[]/div[]/div[]/div[]/div[]/div[],20,99,910,104.0,220.0,42,1,0,0,0,0,0,0,0,0
33,/html/body/div[1]/div[1]/main/div/div[2]/div[2]/div/div[1]/div/div/div[1]/div/div[2]/div[2]/div[6],/html/body/div[]/div[]/main/div/div[]/div[]/div/div[]/div/div/div[]/div/div[]/div[]/div[],17,95,1033,207.0,228.0,92,2,0,4,10,4,0,-4,0,-4
34,/html/body/div[1]/div[1]/main/div/div[2]/div[2]/div/div[1]/div/div/div[1]/div/div[2]/div[2]/div[6]/div[3],/html/body/div[]/div[]/main/div/div[]/div[]/div/div[]/div/div/div[]/div/div[]/div[]/div[]/div[],18,99,1091,137.5,220.0,77,4,0,0,0,0,0,0,0,0
35,/html/body/div[1]/div[1]/main/div/div[2]/div[2]/div/div[1]/div/div/div[1]/div/div[2]/div[2]/div[7],/html/body/div[]/div[]/main/div/div[]/div[]/div/div[]/div/div/div[]/div/div[]/div[]/div[],17,95,1240,119.5,228.0,18,2,0,4,10,4,0,-4,0,-4
36,/html/body/div[1]/div[1]/main/div/div[2]/div[2]/div/div[1]/div/div/div[1]/div/div[2]/div[2]/div[8],/html/body/div[]/div[]/main/div/div[]/div[]/div/div[]/div/div/div[]/div/div[]/div[]/div[],17,95,1359,119.5,228.0,18,2,0,4,10,4,0,-4,0,-4
37,/html/body/div[1]/div[1]/main/div/div[2]/div[2]/div/div[1]/div/div/div[1]/div/div[2]/div[2]/div[9],/html/body/div[]/div[]/main/div/div[]/div[]/div/div[]/div/div/div[]/div/div[]/div[]/div[],17,95,1479,197.5,220.0,43,2,0,4,15,4,0,-4,0,-4
38,/html/body/div[1]/div[1]/main/div/div[2]/div[2]/div/div[1]/div/div/div[1]/div/div[2]/div[2]/div[9]/div[3],/html/body/div[]/div[]/main/div/div[]/div[]/div/div[]/div/div/div[]/div/div[]/div[]/div[]/div[],18,99,1541,119.0,212.0,28,4,0,0,0,0,0,0,0,0
39,/html/body/div[1]/div[1]/main/div/div[2]/div[2]/div/div[1]/div/div/div[1]/div/div[2]/div[2]/div[11],/html/body/div[]/div[]/main/div/div[]/div[]/div/div[]/div/div/div[]/div/div[]/div[]/div[],17,95,1676,267.5,228.0,869,2,0,4,0,4,0,-4,0,-4
