,xpath,reduced_xpath,dom_tree_level,x_position,y_position,height,width,html_children,html_attributes,padding_top,padding_right,padding_bottom,padding_left,margin_top,margin_right,margin_bottom,margin_left
100,/html/body/div[2]/div[1]/div/div/div/div/div/div/div[2]/ul/div[11]/a/div/div/div[1]/div[2]/div,/html/body/div[]/div[]/div/div/div/div/div/div/div[]/ul/div[]/a/div/div/div[]/div[]/div,19,874,3360,95.33332824707033,169.5,3,7,0,0,0,0,0,0,0,0
101,/html/body/div[2]/div[1]/div/div/div/div/div/div/div[2]/ul/div[11]/a/div/div/div[1]/div[2]/div/div,/html/body/div[]/div[]/div/div/div/div/div/div/div[]/ul/div[]/a/div/div/div[]/div[]/div/div,20,874,3360,95.33332824707033,169.5,2,1,0,0,0,0,0,0,0,0
102,/html/body/div[2]/div[1]/div/div/div/div/div/div/div[2]/ul/div[11]/a/div/div/div[1]/div[2]/div/div/div,/html/body/div[]/div[]/div/div/div/div/div/div/div[]/ul/div[]/a/div/div/div[]/div[]/div/div/div,21,874,3360,95.33332824707033,169.5,1,1,0,0,95.3333,0,0,0,0,0
103,/html/body/div[2]/div[1]/div/div/div/div/div/div/div[2]/ul/div[11]/a/div/div/div[1]/div[2]/div/div/div/div,/html/body/div[]/div[]/div/div/div/div/div/div/div[]/ul/div[]/a/div/div/div[]/div[]/div/div/div/div,22,874,3360,95.33332824707033,169.5,0,2,0,0,0,0,0,0,0,0
104,/html/body/div[2]/div[1]/div/div/div/div/div/div/div[2]/div[2],/html/body/div[]/div[]/div/div/div/div/div/div/div[]/div[],12,284,3651,80.0,780.0,5,1,15,15,15,15,30,0,0,0
105,/html/body/div[2]/div[2],/html/body/div[]/div[],4,0,3801,2814.75,1349.0,613,5,0,0,32,0,0,0,0,0
106,/html/body/div[2]/div[2]/div,/html/body/div[]/div[]/div,5,0,3801,2814.75,1349.0,612,1,0,0,0,0,0,0,0,0
107,/html/body/div[2]/div[2]/div/footer/div,/html/body/div[]/div[]/div/footer/div,7,0,3802,2813.75,1349.0,609,1,10,0,10,0,0,0,0,0
108,/html/body/div[2]/div[2]/div/footer/div/div[1],/html/body/div[]/div[]/div/footer/div/div[],8,0,3827,2495.833251953125,1349.0,505,1,0,0,0,0,0,0,0,0
109,/html/body/div[2]/div[2]/div/footer/div/div[1]/div,/html/body/div[]/div[]/div/footer/div/div[]/div,9,0,3827,2495.833251953125,1349.0,504,19,0,0,0,0,0,0,0,0
