,xpath,reduced_xpath,dom_tree_level,x_position,y_position,height,width,html_children,html_attributes,padding_top,padding_right,padding_bottom,padding_left,margin_top,margin_right,margin_bottom,margin_left,is_search_result
93,/html/body/div[1]/div[3]/div/div[2]/div[2]/div/div[2]/div[3]/div/div/div[1]/section[3]/div/div/div,/html/body/div[]/div[]/div/div[]/div[]/div/div[]/div[]/div/div/div[]/section[]/div/div/div,17,592,1468,318.29998779296875,672.4833374023438,95,2,0,0,0,0,0,0,0,0,False
94,/html/body/div[1]/div[3]/div/div[2]/div[2]/div/div[2]/div[3]/div/div/div[1]/section[3]/div/div/div/div[1],/html/body/div[]/div[]/div/div[]/div[]/div/div[]/div[]/div/div/div[]/section[]/div/div/div/div[],18,592,1468,318.29998779296875,438.48333740234375,65,1,12,12,12,12,0,0,0,0,False
95,/html/body/div[1]/div[3]/div/div[2]/div[2]/div/div[2]/div[3]/div/div/div[1]/section[3]/div/div/div/div[1]/a/div[1],/html/body/div[]/div[]/div/div[]/div[]/div/div[]/div[]/div/div/div[]/section[]/div/div/div/div[]/a/div[],20,610,1486,232.3000030517578,408.48333740234375,43,1,0,0,0,0,0,0,0,0,False
96,/html/body/div[1]/div[3]/div/div[2]/div[2]/div/div[2]/div[3]/div/div/div[1]/section[3]/div/div/div/div[3],/html/body/div[]/div[]/div/div[]/div[]/div/div[]/div[]/div/div/div[]/section[]/div/div/div/div[],18,1042,1468,318.29998779296875,222.0,25,1,12,12,12,12,0,0,0,0,False
97,/html/body/div[1]/div[3]/div/div[2]/div[2]/div/div[2]/div[3]/div/div/div[1]/section[3]/div/div/div/div[3]/a/div[1],/html/body/div[]/div[]/div/div[]/div[]/div/div[]/div[]/div/div/div[]/section[]/div/div/div/div[]/a/div[],20,1054,1486,228.3000030517578,192.0,19,1,0,0,0,0,0,0,0,0,False
98,/html/body/div[1]/div[3]/div/div[2]/div[2]/div/div[2]/div[3]/div/div/div[1]/section[3]/div/div/div/div[3]/a/div[1]/div[4],/html/body/div[]/div[]/div/div[]/div[]/div/div[]/div[]/div/div/div[]/section[]/div/div/div/div[]/a/div[]/div[],21,1054,1621,94.0,192.0,4,1,0,0,0,0,3,0,0,0,False
99,/html/body/div[1]/div[3]/div/div[2]/div[2]/div/div[2]/div[3]/div/div/div[1]/section[4]/div,/html/body/div[]/div[]/div/div[]/div[]/div/div[]/div[]/div/div/div[]/section[]/div,15,330,1799,288.79998779296875,934.0,73,1,0,0,0,0,0,0,12,0,True
100,/html/body/div[1]/div[3]/div/div[2]/div[2]/div/div[2]/div[3]/div/div/div[1]/section[4]/div/div,/html/body/div[]/div[]/div/div[]/div[]/div/div[]/div[]/div/div/div[]/section[]/div/div,16,330,1799,288.79998779296875,934.0,72,1,0,0,0,0,0,0,0,0,False
101,/html/body/div[1]/div[3]/div/div[2]/div[2]/div/div[2]/div[3]/div/div/div[1]/section[4]/div/div/a/div,/html/body/div[]/div[]/div/div[]/div[]/div/div[]/div[]/div/div/div[]/section[]/div/div/a/div,18,330,1799,288.79998779296875,261.51666259765625,8,1,0,0,0,0,0,0,0,0,False
102,/html/body/div[1]/div[3]/div/div[2]/div[2]/div/div[2]/div[3]/div/div/div[1]/section[4]/div/div/a/div/div,/html/body/div[]/div[]/div/div[]/div[]/div/div[]/div[]/div/div/div[]/section[]/div/div/a/div/div,19,330,1799,288.79998779296875,261.51666259765625,7,1,0,0,0,0,0,0,0,0,False
103,/html/body/div[1]/div[3]/div/div[2]/div[2]/div/div[2]/div[3]/div/div/div[1]/section[4]/div/div/div,/html/body/div[]/div[]/div/div[]/div[]/div/div[]/div[]/div/div/div[]/section[]/div/div/div,17,592,1799,288.79998779296875,672.4833374023438,61,2,0,0,0,0,0,0,0,0,False
104,/html/body/div[1]/div[3]/div/div[2]/div[2]/div/div[2]/div[3]/div/div/div[1]/section[4]/div/div/div/div[1],/html/body/div[]/div[]/div/div[]/div[]/div/div[]/div[]/div/div/div[]/section[]/div/div/div/div[],18,592,1799,288.79998779296875,438.48333740234375,37,1,12,12,12,12,0,0,0,0,False
105,/html/body/div[1]/div[3]/div/div[2]/div[2]/div/div[2]/div[3]/div/div/div[1]/section[4]/div/div/div/div[1]/a/div,/html/body/div[]/div[]/div/div[]/div[]/div/div[]/div[]/div/div/div[]/section[]/div/div/div/div[]/a/div,20,610,1817,252.79998779296875,408.48333740234375,35,1,0,0,0,0,0,0,0,0,False
106,/html/body/div[1]/div[3]/div/div[2]/div[2]/div/div[2]/div[3]/div/div/div[1]/section[4]/div/div/div/div[3],/html/body/div[]/div[]/div/div[]/div[]/div/div[]/div[]/div/div/div[]/section[]/div/div/div/div[],18,1042,1799,288.79998779296875,222.0,19,1,12,12,12,12,0,0,0,0,False
107,/html/body/div[1]/div[3]/div/div[2]/div[2]/div/div[2]/div[3]/div/div/div[1]/section[4]/div/div/div/div[3]/a/div[1],/html/body/div[]/div[]/div/div[]/div[]/div/div[]/div[]/div/div/div[]/section[]/div/div/div/div[]/a/div[],20,1054,1817,198.79998779296875,192.0,13,1,0,0,0,0,0,0,0,0,False
108,/html/body/div[1]/div[3]/div/div[2]/div[2]/div/div[2]/div[3]/div/div/div[1]/section[4]/div/div/div/div[3]/a/div[1]/div[4],/html/body/div[]/div[]/div/div[]/div[]/div/div[]/div[]/div/div/div[]/section[]/div/div/div/div[]/a/div[]/div[],21,1054,1921,94.0,192.0,4,1,0,0,0,0,3,0,0,0,False
109,/html/body/div[1]/div[3]/div/div[2]/div[2]/div/div[2]/div[3]/div/div/div[1]/section[5]/div,/html/body/div[]/div[]/div/div[]/div[]/div/div[]/div[]/div/div/div[]/section[]/div,15,330,2099,306.79998779296875,934.0,80,1,0,0,0,0,0,0,12,0,True
110,/html/body/div[1]/div[3]/div/div[2]/div[2]/div/div[2]/div[3]/div/div/div[1]/section[5]/div/div,/html/body/div[]/div[]/div/div[]/div[]/div/div[]/div[]/div/div/div[]/section[]/div/div,16,330,2099,306.79998779296875,934.0,79,1,0,0,0,0,0,0,0,0,False
111,/html/body/div[1]/div[3]/div/div[2]/div[2]/div/div[2]/div[3]/div/div/div[1]/section[5]/div/div/a/div,/html/body/div[]/div[]/div/div[]/div[]/div/div[]/div[]/div/div/div[]/section[]/div/div/a/div,18,330,2099,306.79998779296875,261.51666259765625,8,1,0,0,0,0,0,0,0,0,False
112,/html/body/div[1]/div[3]/div/div[2]/div[2]/div/div[2]/div[3]/div/div/div[1]/section[5]/div/div/a/div/div,/html/body/div[]/div[]/div/div[]/div[]/div/div[]/div[]/div/div/div[]/section[]/div/div/a/div/div,19,330,2099,306.79998779296875,261.51666259765625,7,1,0,0,0,0,0,0,0,0,False
113,/html/body/div[1]/div[3]/div/div[2]/div[2]/div/div[2]/div[3]/div/div/div[1]/section[5]/div/div/div,/html/body/div[]/div[]/div/div[]/div[]/div/div[]/div[]/div/div/div[]/section[]/div/div/div,17,592,2099,306.79998779296875,672.4833374023438,68,2,0,0,0,0,0,0,0,0,False
114,/html/body/div[1]/div[3]/div/div[2]/div[2]/div/div[2]/div[3]/div/div/div[1]/section[5]/div/div/div/div[1],/html/body/div[]/div[]/div/div[]/div[]/div/div[]/div[]/div/div/div[]/section[]/div/div/div/div[],18,592,2099,306.79998779296875,438.48333740234375,43,1,12,12,12,12,0,0,0,0,False
115,/html/body/div[1]/div[3]/div/div[2]/div[2]/div/div[2]/div[3]/div/div/div[1]/section[5]/div/div/div/div[1]/a/div[1],/html/body/div[]/div[]/div/div[]/div[]/div/div[]/div[]/div/div/div[]/section[]/div/div/div/div[]/a/div[],20,610,2117,220.8000030517578,408.48333740234375,35,1,0,0,0,0,0,0,0,0,False
116,/html/body/div[1]/div[3]/div/div[2]/div[2]/div/div[2]/div[3]/div/div/div[1]/section[5]/div/div/div/div[3],/html/body/div[]/div[]/div/div[]/div[]/div/div[]/div[]/div/div/div[]/section[]/div/div/div/div[],18,1042,2099,306.79998779296875,222.0,20,1,12,12,12,12,0,0,0,0,False
117,/html/body/div[1]/div[3]/div/div[2]/div[2]/div/div[2]/div[3]/div/div/div[1]/section[5]/div/div/div/div[3]/a/div[1],/html/body/div[]/div[]/div/div[]/div[]/div/div[]/div[]/div/div/div[]/section[]/div/div/div/div[]/a/div[],20,1054,2117,198.8000030517578,192.0,13,1,0,0,0,0,0,0,0,0,False
118,/html/body/div[1]/div[3]/div/div[2]/div[2]/div/div[2]/div[3]/div/div/div[1]/section[5]/div/div/div/div[3]/a/div[1]/div[4],/html/body/div[]/div[]/div/div[]/div[]/div/div[]/div[]/div/div/div[]/section[]/div/div/div/div[]/a/div[]/div[],21,1054,2222,94.0,192.0,4,1,0,0,0,0,3,0,0,0,False
119,/html/body/div[1]/div[3]/div/div[2]/div[2]/div/div[2]/div[3]/div/div/div[1]/section[6]/div,/html/body/div[]/div[]/div/div[]/div[]/div/div[]/div[]/div/div/div[]/section[]/div,15,330,2418,288.79998779296875,934.0,70,1,0,0,0,0,0,0,12,0,True
