,xpath,reduced_xpath,dom_tree_level,x_position,y_position,height,width,html_children,html_attributes,padding_top,padding_right,padding_bottom,padding_left,margin_top,margin_right,margin_bottom,margin_left
143,/html/body/div[4]/div/div[3]/div[1]/div[1]/div[7]/div[3]/div[1]/div/div[11]/div[2]/div[3]/div/div/div/div/div[1]/div,/html/body/div[]/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[]/div[]/div[]/div/div/div/div/div[]/div,20,644,3404,113.0,355.0,19,1,0,0,0,0,0,0,0,0
144,/html/body/div[4]/div/div[3]/div[1]/div[1]/div[7]/div[3]/div[1]/div/div[11]/div[2]/div[3]/div/div/div/div/div[2],/html/body/div[]/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[]/div[]/div[]/div/div/div/div/div[],19,1022,3404,115.0,185.0,21,2,0,0,0,0,0,0,0,0
145,/html/body/div[4]/div/div[3]/div[1]/div[1]/div[7]/div[3]/div[1]/div/div[12],/html/body/div[]/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[],12,410,3552,291.5,814.0,119,6,16,16,16,16,16,0,16,0
146,/html/body/div[4]/div/div[3]/div[1]/div[1]/div[7]/div[3]/div[1]/div/div[12]/div[1],/html/body/div[]/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[]/div[],13,428,3569,257.5,200.0,20,2,0,0,0,0,0,0,0,0
147,/html/body/div[4]/div/div[3]/div[1]/div[1]/div[7]/div[3]/div[1]/div/div[12]/div[2],/html/body/div[]/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[]/div[],13,628,3569,257.5,580.0,97,1,0,0,0,16,0,0,0,0
148,/html/body/div[4]/div/div[3]/div[1]/div[1]/div[7]/div[3]/div[1]/div/div[12]/div[2]/div[1],/html/body/div[]/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[]/div[]/div[],14,644,3569,80.5,564.0,37,1,0,0,0,0,0,0,0,0
149,/html/body/div[4]/div/div[3]/div[1]/div[1]/div[7]/div[3]/div[1]/div/div[12]/div[2]/div[1]/div[1],/html/body/div[]/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[]/div[]/div[]/div[],15,644,3569,80.5,413.0,25,1,0,0,0,0,0,0,0,0
150,/html/body/div[4]/div/div[3]/div[1]/div[1]/div[7]/div[3]/div[1]/div/div[12]/div[2]/div[1]/div[2],/html/body/div[]/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[]/div[]/div[]/div[],15,1056,3569,80.5,151.0,10,1,0,0,0,0,0,0,0,0
151,/html/body/div[4]/div/div[3]/div[1]/div[1]/div[7]/div[3]/div[1]/div/div[12]/div[2]/div[3],/html/body/div[]/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[]/div[]/div[],14,644,3693,133.0,564.0,51,1,0,0,0,0,8,0,0,0
152,/html/body/div[4]/div/div[3]/div[1]/div[1]/div[7]/div[3]/div[1]/div/div[12]/div[2]/div[3]/div,/html/body/div[]/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[]/div[]/div[]/div,15,644,3689,141.0,564.0,50,1,0,0,0,0,0,0,0,0
