,xpath,reduced_xpath,dom_tree_level,x_position,y_position,height,width,html_children,html_attributes,padding_top,padding_right,padding_bottom,padding_left,margin_top,margin_right,margin_bottom,margin_left,is_search_result
75,/html/body/div[4]/main/div/div/div[7]/div[1]/div[5]/div[4]/div[1]/div[1]/div/div[12]/div/div[1],/html/body/div[]/main/div/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[]/div/div[],16,376,1276,174.0,299.33331298828125,11,1,0,15,0,15,0,0,0,0,False
76,/html/body/div[4]/main/div/div/div[7]/div[1]/div[5]/div[4]/div[1]/div[1]/div/div[12]/div/div[1]/div,/html/body/div[]/main/div/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[]/div/div[]/div,17,390,1276,174.0,269.33331298828125,10,1,0,0,0,0,0,0,0,0,False
77,/html/body/div[4]/main/div/div/div[7]/div[1]/div[5]/div[4]/div[1]/div[1]/div/div[12]/div/div[2],/html/body/div[]/main/div/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[]/div/div[],16,675,1276,174.0,598.6666870117188,89,1,0,15,0,0,0,0,0,0,False
78,/html/body/div[4]/main/div/div/div[7]/div[1]/div[5]/div[4]/div[1]/div[1]/div/div[12]/div/div[2]/div[1],/html/body/div[]/main/div/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[]/div/div[]/div[],17,675,1276,174.0,350.20001220703125,59,1,15,0,15,0,0,0,0,0,False
79,/html/body/div[4]/main/div/div/div[7]/div[1]/div[5]/div[4]/div[1]/div[1]/div/div[12]/div/div[2]/div[2],/html/body/div[]/main/div/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[]/div/div[]/div[],17,1025,1276,174.0,233.46665954589844,28,1,15,0,15,0,0,0,0,0,False
80,/html/body/div[4]/main/div/div/div[7]/div[1]/div[5]/div[4]/div[1]/div[1]/div/div[13],/html/body/div[]/main/div/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[],14,390,1461,176.0,870.0,93,3,0,0,0,0,0,0,10,0,True
81,/html/body/div[4]/main/div/div/div[7]/div[1]/div[5]/div[4]/div[1]/div[1]/div/div[13]/div,/html/body/div[]/main/div/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[]/div,15,376,1462,174.0,898.0,92,1,0,0,0,0,0,-15,0,-15,False
82,/html/body/div[4]/main/div/div/div[7]/div[1]/div[5]/div[4]/div[1]/div[1]/div/div[13]/div/div[1],/html/body/div[]/main/div/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[]/div/div[],16,376,1462,174.0,299.33331298828125,11,1,0,15,0,15,0,0,0,0,False
83,/html/body/div[4]/main/div/div/div[7]/div[1]/div[5]/div[4]/div[1]/div[1]/div/div[13]/div/div[1]/div,/html/body/div[]/main/div/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[]/div/div[]/div,17,390,1462,174.0,269.33331298828125,10,1,0,0,0,0,0,0,0,0,False
84,/html/body/div[4]/main/div/div/div[7]/div[1]/div[5]/div[4]/div[1]/div[1]/div/div[13]/div/div[2],/html/body/div[]/main/div/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[]/div/div[],16,675,1462,174.0,598.6666870117188,78,1,0,15,0,0,0,0,0,0,False
85,/html/body/div[4]/main/div/div/div[7]/div[1]/div[5]/div[4]/div[1]/div[1]/div/div[13]/div/div[2]/div[1],/html/body/div[]/main/div/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[]/div/div[]/div[],17,675,1462,174.0,350.20001220703125,54,1,15,0,15,0,0,0,0,0,False
86,/html/body/div[4]/main/div/div/div[7]/div[1]/div[5]/div[4]/div[1]/div[1]/div/div[13]/div/div[2]/div[2],/html/body/div[]/main/div/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[]/div/div[]/div[],17,1025,1462,174.0,233.46665954589844,22,1,15,0,15,0,0,0,0,0,False
87,/html/body/div[4]/main/div/div/div[7]/div[1]/div[5]/div[4]/div[1]/div[1]/div/div[14],/html/body/div[]/main/div/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[],14,390,1647,176.0,870.0,88,3,0,0,0,0,0,0,10,0,True
88,/html/body/div[4]/main/div/div/div[7]/div[1]/div[5]/div[4]/div[1]/div[1]/div/div[14]/div,/html/body/div[]/main/div/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[]/div,15,376,1648,174.0,898.0,87,1,0,0,0,0,0,-15,0,-15,False
89,/html/body/div[4]/main/div/div/div[7]/div[1]/div[5]/div[4]/div[1]/div[1]/div/div[14]/div/div[1],/html/body/div[]/main/div/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[]/div/div[],16,376,1648,174.0,299.33331298828125,11,1,0,15,0,15,0,0,0,0,False
90,/html/body/div[4]/main/div/div/div[7]/div[1]/div[5]/div[4]/div[1]/div[1]/div/div[14]/div/div[1]/div,/html/body/div[]/main/div/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[]/div/div[]/div,17,390,1648,174.0,269.33331298828125,10,1,0,0,0,0,0,0,0,0,False
91,/html/body/div[4]/main/div/div/div[7]/div[1]/div[5]/div[4]/div[1]/div[1]/div/div[14]/div/div[2],/html/body/div[]/main/div/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[]/div/div[],16,675,1648,174.0,598.6666870117188,73,1,0,15,0,0,0,0,0,0,False
92,/html/body/div[4]/main/div/div/div[7]/div[1]/div[5]/div[4]/div[1]/div[1]/div/div[14]/div/div[2]/div[1],/html/body/div[]/main/div/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[]/div/div[]/div[],17,675,1648,174.0,350.20001220703125,43,1,15,0,15,0,0,0,0,0,False
93,/html/body/div[4]/main/div/div/div[7]/div[1]/div[5]/div[4]/div[1]/div[1]/div/div[14]/div/div[2]/div[2],/html/body/div[]/main/div/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[]/div/div[]/div[],17,1025,1648,174.0,233.46665954589844,28,1,15,0,15,0,0,0,0,0,False
94,/html/body/div[4]/main/div/div/div[7]/div[1]/div[5]/div[4]/div[1]/div[1]/div/div[15],/html/body/div[]/main/div/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[],14,390,1833,176.0,870.0,48,4,0,0,0,0,0,0,10,0,True
95,/html/body/div[4]/main/div/div/div[7]/div[1]/div[5]/div[4]/div[1]/div[1]/div/div[15]/div,/html/body/div[]/main/div/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[]/div,15,376,1834,174.0,898.0,47,1,0,0,0,0,0,-15,0,-15,False
96,/html/body/div[4]/main/div/div/div[7]/div[1]/div[5]/div[4]/div[1]/div[1]/div/div[15]/div/div[1],/html/body/div[]/main/div/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[]/div/div[],16,376,1834,174.0,299.33331298828125,15,1,0,15,0,15,0,0,0,0,False
97,/html/body/div[4]/main/div/div/div[7]/div[1]/div[5]/div[4]/div[1]/div[1]/div/div[15]/div/div[1]/div,/html/body/div[]/main/div/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[]/div/div[]/div,17,390,1834,174.0,269.33331298828125,14,1,0,0,0,0,0,0,0,0,False
98,/html/body/div[4]/main/div/div/div[7]/div[1]/div[5]/div[4]/div[1]/div[1]/div/div[15]/div/div[2],/html/body/div[]/main/div/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[]/div/div[],16,675,1834,174.0,598.6666870117188,29,1,0,15,0,0,0,0,0,0,False
99,/html/body/div[4]/main/div/div/div[7]/div[1]/div[5]/div[4]/div[1]/div[1]/div/div[15]/div/div[2]/div[1],/html/body/div[]/main/div/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[]/div/div[]/div[],17,675,1834,174.0,350.20001220703125,10,1,15,0,15,0,0,0,0,0,False
100,/html/body/div[4]/main/div/div/div[7]/div[1]/div[5]/div[4]/div[1]/div[1]/div/div[15]/div/div[2]/div[2],/html/body/div[]/main/div/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[]/div/div[]/div[],17,1025,1834,174.0,233.46665954589844,17,1,15,0,15,0,0,0,0,0,False
101,/html/body/div[4]/main/div/div/div[7]/div[1]/div[5]/div[4]/div[1]/div[1]/div/div[16],/html/body/div[]/main/div/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[],14,390,2019,176.0,870.0,75,3,0,0,0,0,0,0,10,0,True
102,/html/body/div[4]/main/div/div/div[7]/div[1]/div[5]/div[4]/div[1]/div[1]/div/div[16]/div,/html/body/div[]/main/div/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[]/div,15,376,2020,174.0,898.0,74,1,0,0,0,0,0,-15,0,-15,False
103,/html/body/div[4]/main/div/div/div[7]/div[1]/div[5]/div[4]/div[1]/div[1]/div/div[16]/div/div[1],/html/body/div[]/main/div/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[]/div/div[],16,376,2020,174.0,299.33331298828125,11,1,0,15,0,15,0,0,0,0,False
104,/html/body/div[4]/main/div/div/div[7]/div[1]/div[5]/div[4]/div[1]/div[1]/div/div[16]/div/div[1]/div,/html/body/div[]/main/div/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[]/div/div[]/div,17,390,2020,174.0,269.33331298828125,10,1,0,0,0,0,0,0,0,0,False
105,/html/body/div[4]/main/div/div/div[7]/div[1]/div[5]/div[4]/div[1]/div[1]/div/div[16]/div/div[2],/html/body/div[]/main/div/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[]/div/div[],16,675,2020,174.0,598.6666870117188,60,1,0,15,0,0,0,0,0,0,False
106,/html/body/div[4]/main/div/div/div[7]/div[1]/div[5]/div[4]/div[1]/div[1]/div/div[16]/div/div[2]/div[1],/html/body/div[]/main/div/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[]/div/div[]/div[],17,675,2020,174.0,350.20001220703125,38,1,15,0,15,0,0,0,0,0,False
107,/html/body/div[4]/main/div/div/div[7]/div[1]/div[5]/div[4]/div[1]/div[1]/div/div[16]/div/div[2]/div[2],/html/body/div[]/main/div/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[]/div/div[]/div[],17,1025,2020,174.0,233.46665954589844,20,1,15,0,15,0,0,0,0,0,False
108,/html/body/div[4]/main/div/div/div[7]/div[1]/div[5]/div[4]/div[1]/div[1]/div/div[17],/html/body/div[]/main/div/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[],14,390,2205,196.0,870.0,85,3,0,0,0,0,0,0,10,0,True
109,/html/body/div[4]/main/div/div/div[7]/div[1]/div[5]/div[4]/div[1]/div[1]/div/div[17]/div,/html/body/div[]/main/div/div/div[]/div[]/div[]/div[]/div[]/div[]/div/div[]/div,15,376,2206,194.0,898.0,84,1,0,0,0,0,0,-15,0,-15,False
