,xpath,reduced_xpath,dom_tree_level,x_position,y_position,height,width,html_children,html_attributes,padding_top,padding_right,padding_bottom,padding_left,margin_top,margin_right,margin_bottom,margin_left
71,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[14]/div[2]/div/div[2],/html/body/div[]/table/tbody/tr/td[]/div[]/div[]/div[]/div[]/div[]/div/div[],14,426,2794,164.60000610351562,301.0,24,1,0,0,0,0,0,0,0,20
72,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[15],/html/body/div[]/table/tbody/tr/td[]/div[]/div[]/div[]/div[],11,342,2968,181.5,495.0,25,1,0,0,0,0,0,0,0,0
73,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[15]/div[2],/html/body/div[]/table/tbody/tr/td[]/div[]/div[]/div[]/div[]/div[],12,342,2968,181.5,495.0,23,1,10,0,10,5,0,0,0,0
74,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[15]/div[2]/div,/html/body/div[]/table/tbody/tr/td[]/div[]/div[]/div[]/div[]/div[]/div,13,406,2978,161.5,430.0,22,2,0,0,0,0,0,0,0,60
75,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[15]/div[2]/div/div[2],/html/body/div[]/table/tbody/tr/td[]/div[]/div[]/div[]/div[]/div[]/div/div[],14,426,2995,145.0,301.0,16,1,0,0,0,0,0,0,0,20
76,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[16],/html/body/div[]/table/tbody/tr/td[]/div[]/div[]/div[]/div[],11,342,3180,168.09999084472656,495.0,35,1,0,0,0,0,30,0,0,0
77,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[16]/div[2],/html/body/div[]/table/tbody/tr/td[]/div[]/div[]/div[]/div[]/div[],12,342,3180,168.09999084472656,495.0,33,1,10,0,10,5,0,0,0,0
78,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[16]/div[2]/div,/html/body/div[]/table/tbody/tr/td[]/div[]/div[]/div[]/div[]/div[]/div,13,406,3190,148.09999084472656,430.0,32,2,0,0,0,0,0,0,0,60
79,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[16]/div[2]/div/div[2],/html/body/div[]/table/tbody/tr/td[]/div[]/div[]/div[]/div[]/div[]/div/div[],14,496,3190,148.09999084472656,301.0,26,1,0,0,0,0,0,0,0,20
80,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[17],/html/body/div[]/table/tbody/tr/td[]/div[]/div[]/div[]/div[],11,342,3348,165.0,495.0,35,1,0,0,0,0,0,0,0,0
81,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[17]/div[2],/html/body/div[]/table/tbody/tr/td[]/div[]/div[]/div[]/div[]/div[],12,342,3348,165.0,495.0,33,1,10,0,10,5,0,0,0,0
82,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[17]/div[2]/div,/html/body/div[]/table/tbody/tr/td[]/div[]/div[]/div[]/div[]/div[]/div,13,406,3358,145.0,430.0,32,2,0,0,0,0,0,0,0,60
83,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[17]/div[2]/div/div[2],/html/body/div[]/table/tbody/tr/td[]/div[]/div[]/div[]/div[]/div[]/div/div[],14,460,3358,145.0,301.0,26,1,0,0,0,0,0,0,0,20
84,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[18],/html/body/div[]/table/tbody/tr/td[]/div[]/div[]/div[]/div[],11,342,3513,165.0,495.0,35,1,0,0,0,0,0,0,0,0
85,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[18]/div[2],/html/body/div[]/table/tbody/tr/td[]/div[]/div[]/div[]/div[]/div[],12,342,3513,165.0,495.0,33,1,10,0,10,5,0,0,0,0
86,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[18]/div[2]/div,/html/body/div[]/table/tbody/tr/td[]/div[]/div[]/div[]/div[]/div[]/div,13,406,3523,145.0,430.0,32,2,0,0,0,0,0,0,0,60
87,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[18]/div[2]/div/div[2],/html/body/div[]/table/tbody/tr/td[]/div[]/div[]/div[]/div[]/div[]/div/div[],14,536,3523,145.0,301.0,26,1,0,0,0,0,0,0,0,20
88,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[19],/html/body/div[]/table/tbody/tr/td[]/div[]/div[]/div[]/div[],11,342,3678,168.10000610351562,495.0,33,1,0,0,0,0,0,0,0,0
89,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[19]/div[2],/html/body/div[]/table/tbody/tr/td[]/div[]/div[]/div[]/div[]/div[],12,342,3678,168.10000610351562,495.0,31,1,10,0,10,5,0,0,0,0
90,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[19]/div[2]/div,/html/body/div[]/table/tbody/tr/td[]/div[]/div[]/div[]/div[]/div[]/div,13,406,3688,148.10000610351562,430.0,30,2,0,0,0,0,0,0,0,60
91,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[19]/div[2]/div/div[2],/html/body/div[]/table/tbody/tr/td[]/div[]/div[]/div[]/div[]/div[]/div/div[],14,512,3688,148.10000610351562,301.0,24,1,0,0,0,0,0,0,0,20
92,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[20],/html/body/div[]/table/tbody/tr/td[]/div[]/div[]/div[]/div[],11,342,3846,165.0,495.0,35,1,0,0,0,0,0,0,0,0
93,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[20]/div[2],/html/body/div[]/table/tbody/tr/td[]/div[]/div[]/div[]/div[]/div[],12,342,3846,165.0,495.0,33,1,10,0,10,5,0,0,0,0
94,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[20]/div[2]/div,/html/body/div[]/table/tbody/tr/td[]/div[]/div[]/div[]/div[]/div[]/div,13,406,3856,145.0,430.0,32,2,0,0,0,0,0,0,0,60
95,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[20]/div[2]/div/div[2],/html/body/div[]/table/tbody/tr/td[]/div[]/div[]/div[]/div[]/div[]/div/div[],14,532,3856,145.0,301.0,26,1,0,0,0,0,0,0,0,20
96,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[21],/html/body/div[]/table/tbody/tr/td[]/div[]/div[]/div[]/div[],11,342,4041,165.0,495.0,35,1,0,0,0,0,30,0,0,0
97,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[21]/div[2],/html/body/div[]/table/tbody/tr/td[]/div[]/div[]/div[]/div[]/div[],12,342,4041,165.0,495.0,33,1,10,0,10,5,0,0,0,0
98,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[21]/div[2]/div,/html/body/div[]/table/tbody/tr/td[]/div[]/div[]/div[]/div[]/div[]/div,13,406,4051,145.0,430.0,32,2,0,0,0,0,0,0,0,60
99,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[21]/div[2]/div/div[2],/html/body/div[]/table/tbody/tr/td[]/div[]/div[]/div[]/div[]/div[]/div/div[],14,518,4051,145.0,301.0,26,1,0,0,0,0,0,0,0,20
100,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[22],/html/body/div[]/table/tbody/tr/td[]/div[]/div[]/div[]/div[],11,342,4206,168.10000610351562,495.0,35,1,0,0,0,0,0,0,0,0
101,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[22]/div[2],/html/body/div[]/table/tbody/tr/td[]/div[]/div[]/div[]/div[]/div[],12,342,4206,168.10000610351562,495.0,33,1,10,0,10,5,0,0,0,0
102,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[22]/div[2]/div,/html/body/div[]/table/tbody/tr/td[]/div[]/div[]/div[]/div[]/div[]/div,13,406,4216,148.10000610351562,430.0,32,2,0,0,0,0,0,0,0,60
103,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[22]/div[2]/div/div[2],/html/body/div[]/table/tbody/tr/td[]/div[]/div[]/div[]/div[]/div[]/div/div[],14,522,4216,148.10000610351562,301.0,26,1,0,0,0,0,0,0,0,20
104,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[23],/html/body/div[]/table/tbody/tr/td[]/div[]/div[]/div[]/div[],11,342,4374,168.09999084472656,495.0,35,1,0,0,0,0,0,0,0,0
105,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[23]/div[2],/html/body/div[]/table/tbody/tr/td[]/div[]/div[]/div[]/div[]/div[],12,342,4374,168.09999084472656,495.0,33,1,10,0,10,5,0,0,0,0
106,/html/body/div[5]/table/tbody/tr/td[2]/div[1]/div[4]/div[2]/div[23]/div[2]/div,/html/body/div[]/table/tbody/tr/td[]/div[]/div[]/div[]/div[]/div[]/div,13,406,4384,148.09999084472656,430.0,32,2,0,0,0,0,0,0,0,60
