,xpath,reduced_xpath,dom_tree_level,x_position,y_position,height,width,html_children,html_attributes,padding_top,padding_right,padding_bottom,padding_left,margin_top,margin_right,margin_bottom,margin_left,is_search_result
292,/html/body/div[2]/div[2]/div/footer/div/div[1]/div/div[2]/div[1]/div/div[14]/div/div/div/div/div/div[1]/div/div/div,/html/body/div[]/div[]/div/footer/div/div[]/div/div[]/div[]/div/div[]/div/div/div/div/div/div[]/div/div/div,22,524,5871,168.75,300.0,1,1,0,0,0,0,0,0,0,0,False
293,/html/body/div[2]/div[2]/div/footer/div/div[1]/div/div[2]/div[1]/div/div[14]/div/div/div/div/div/div[3],/html/body/div[]/div[]/div/footer/div/div[]/div/div[]/div[]/div/div[]/div/div/div/div/div/div[],19,524,6052,214.0,300.0,10,1,15,15,0,15,0,0,0,0,False
294,/html/body/div[2]/div[2]/div/footer/div/div[1]/div/div[2]/div[1]/div/div[14]/div/div/div/div/div/div[3]/div[1],/html/body/div[]/div[]/div/footer/div/div[]/div/div[]/div[]/div/div[]/div/div/div/div/div/div[]/div[],20,540,6067,120.0,270.0,6,2,0,0,0,0,0,0,0,0,False
295,/html/body/div[2]/div[2]/div/footer/div/div[1]/div/div[2]/div[1]/div/div[14]/div/div/div/div/div/div[3]/div[2],/html/body/div[]/div[]/div/footer/div/div[]/div/div[]/div[]/div/div[]/div/div/div/div/div/div[]/div[],20,530,6187,79.0,290.0,2,1,15,0,20,0,0,-10,0,-10,False
296,/html/body/div[2]/div[2]/div/footer/div/div[1]/div/div[2]/div[1]/div/div[15],/html/body/div[]/div[]/div/footer/div/div[]/div/div[]/div[]/div/div[],13,834,5820,466.566650390625,320.0,32,1,0,10,0,10,0,0,0,0,False
297,/html/body/div[2]/div[2]/div/footer/div/div[1]/div/div[2]/div[1]/div/div[15]/div,/html/body/div[]/div[]/div/footer/div/div[]/div/div[]/div[]/div/div[]/div,14,844,5820,446.566650390625,300.0,31,8,0,0,0,0,0,0,0,0,False
298,/html/body/div[2]/div[2]/div/footer/div/div[1]/div/div[2]/div[1]/div/div[15]/div/div,/html/body/div[]/div[]/div/footer/div/div[]/div/div[]/div[]/div/div[]/div/div,15,844,5820,446.566650390625,300.0,30,1,0,0,0,0,0,0,20,0,False
299,/html/body/div[2]/div[2]/div/footer/div/div[1]/div/div[2]/div[1]/div/div[15]/div/div/div,/html/body/div[]/div[]/div/footer/div/div[]/div/div[]/div[]/div/div[]/div/div/div,16,844,5820,446.566650390625,300.0,29,1,0,0,0,0,0,0,0,0,False
300,/html/body/div[2]/div[2]/div/footer/div/div[1]/div/div[2]/div[1]/div/div[15]/div/div/div/div,/html/body/div[]/div[]/div/footer/div/div[]/div/div[]/div[]/div/div[]/div/div/div/div,17,834,5871,394.75,320.0,22,1,0,0,0,0,0,-10,0,-10,False
301,/html/body/div[2]/div[2]/div/footer/div/div[1]/div/div[2]/div[1]/div/div[15]/div/div/div/div/div,/html/body/div[]/div[]/div/footer/div/div[]/div/div[]/div[]/div/div[]/div/div/div/div/div,18,834,5871,394.75,320.0,21,1,0,10,0,10,0,0,0,0,False
302,/html/body/div[2]/div[2]/div/footer/div/div[1]/div/div[2]/div[1]/div/div[15]/div/div/div/div/div/div[1],/html/body/div[]/div[]/div/footer/div/div[]/div/div[]/div[]/div/div[]/div/div/div/div/div/div[],19,844,5871,168.75,300.0,4,9,0,0,0,0,0,0,0,0,False
303,/html/body/div[2]/div[2]/div/footer/div/div[1]/div/div[2]/div[1]/div/div[15]/div/div/div/div/div/div[1]/div,/html/body/div[]/div[]/div/footer/div/div[]/div/div[]/div[]/div/div[]/div/div/div/div/div/div[]/div,20,844,5871,168.75,300.0,3,1,0,0,0,0,0,0,0,0,False
304,/html/body/div[2]/div[2]/div/footer/div/div[1]/div/div[2]/div[1]/div/div[15]/div/div/div/div/div/div[1]/div/div,/html/body/div[]/div[]/div/footer/div/div[]/div/div[]/div[]/div/div[]/div/div/div/div/div/div[]/div/div,21,844,5871,168.75,300.0,2,1,0,0,168.75,0,0,0,0,0,False
305,/html/body/div[2]/div[2]/div/footer/div/div[1]/div/div[2]/div[1]/div/div[15]/div/div/div/div/div/div[1]/div/div/div,/html/body/div[]/div[]/div/footer/div/div[]/div/div[]/div[]/div/div[]/div/div/div/div/div/div[]/div/div/div,22,844,5871,168.75,300.0,1,1,0,0,0,0,0,0,0,0,False
306,/html/body/div[2]/div[2]/div/footer/div/div[1]/div/div[2]/div[1]/div/div[15]/div/div/div/div/div/div[3],/html/body/div[]/div[]/div/footer/div/div[]/div/div[]/div[]/div/div[]/div/div/div/div/div/div[],19,844,6052,214.0,300.0,10,1,15,15,0,15,0,0,0,0,False
307,/html/body/div[2]/div[2]/div/footer/div/div[1]/div/div[2]/div[1]/div/div[15]/div/div/div/div/div/div[3]/div[1],/html/body/div[]/div[]/div/footer/div/div[]/div/div[]/div[]/div/div[]/div/div/div/div/div/div[]/div[],20,860,6067,120.0,270.0,6,2,0,0,0,0,0,0,0,0,False
308,/html/body/div[2]/div[2]/div/footer/div/div[1]/div/div[2]/div[1]/div/div[15]/div/div/div/div/div/div[3]/div[2],/html/body/div[]/div[]/div/footer/div/div[]/div/div[]/div[]/div/div[]/div/div/div/div/div/div[]/div[],20,850,6187,79.0,290.0,2,1,15,0,20,0,0,-10,0,-10,False
309,/html/body/div[2]/div[2]/div/footer/div/div[2],/html/body/div[]/div[]/div/footer/div/div[],8,194,6323,185.08334350585935,960.0,67,2,0,10,0,10,0,194.5,0,194.5,False
310,/html/body/div[2]/div[2]/div/footer/div/div[2]/div[1],/html/body/div[]/div[]/div/footer/div/div[]/div[],9,194,6323,185.08334350585935,960.0,46,2,0,0,0,0,0,-10,0,-10,False
311,/html/body/div[2]/div[2]/div/footer/div/div[2]/div[1]/div[1],/html/body/div[]/div[]/div/footer/div/div[]/div[]/div[],10,194,6323,185.08334350585935,480.0,22,1,0,10,0,10,0,0,0,0,False
312,/html/body/div[2]/div[2]/div/footer/div/div[2]/div[1]/div[1]/div,/html/body/div[]/div[]/div/footer/div/div[]/div[]/div[]/div,11,204,6323,185.08334350585935,460.0,21,1,0,0,0,0,0,0,0,0,False
313,/html/body/div[2]/div[2]/div/footer/div/div[2]/div[1]/div[1]/div/div,/html/body/div[]/div[]/div/footer/div/div[]/div[]/div[]/div/div,12,194,6323,185.08334350585935,480.0,20,2,0,0,0,0,0,-10,0,-10,False
314,/html/body/div[2]/div[2]/div/footer/div/div[2]/div[1]/div[1]/div/div/div[1],/html/body/div[]/div[]/div/footer/div/div[]/div[]/div[]/div/div/div[],13,194,6323,185.08334350585935,240.0,11,1,0,10,0,10,0,0,0,0,False
315,/html/body/div[2]/div[2]/div/footer/div/div[2]/div[1]/div[1]/div/div/div[2],/html/body/div[]/div[]/div/footer/div/div[]/div[]/div[]/div/div/div[],13,434,6323,185.08334350585935,240.0,7,1,0,10,0,10,0,0,0,0,False
316,/html/body/div[2]/div[2]/div/footer/div/div[2]/div[1]/div[2],/html/body/div[]/div[]/div/footer/div/div[]/div[]/div[],10,674,6323,185.08334350585935,480.0,22,1,0,10,0,10,0,0,0,0,False
317,/html/body/div[2]/div[2]/div/footer/div/div[2]/div[1]/div[2]/div,/html/body/div[]/div[]/div/footer/div/div[]/div[]/div[]/div,11,684,6323,185.08334350585935,460.0,21,1,0,0,0,0,0,0,0,0,False
318,/html/body/div[2]/div[2]/div/footer/div/div[2]/div[1]/div[2]/div/div,/html/body/div[]/div[]/div/footer/div/div[]/div[]/div[]/div/div,12,674,6323,185.08334350585935,480.0,20,2,0,0,0,0,0,-10,0,-10,False
319,/html/body/div[2]/div[2]/div/footer/div/div[2]/div[1]/div[2]/div/div/div[1],/html/body/div[]/div[]/div/footer/div/div[]/div[]/div[]/div/div/div[],13,674,6323,185.08334350585935,240.0,11,1,0,10,0,10,0,0,0,0,False
320,/html/body/div[2]/div[2]/div/footer/div/div[2]/div[1]/div[2]/div/div/div[2],/html/body/div[]/div[]/div/footer/div/div[]/div[]/div[]/div/div/div[],13,914,6323,185.08334350585935,240.0,7,1,0,10,0,10,0,0,0,0,False
